ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.864605541983509,4.138471972522e-15,2.10156816869973,0.0422129714864692,0.154702286564938,-4.35708806185186
Taurocholic Acid,0.776298291289538,2.34332229546534e-16,2.09855481825921,0.042493528662753,0.154865304459811,-4.36275181404278
LysoPC(22:5),-0.758012648238153,-3.8048268239758e-16,-2.09253631262972,0.0430587895489267,0.156058375381745,-4.37404472860221
Oleoyl Ethanolamide,0.878029716504881,-2.13920316645873e-15,2.08119888620483,0.0441415660601003,0.158586163838254,-4.39524827222342
SM(d41:1),-0.757809984887086,3.8372083288607e-15,-2.08018306626859,0.0442397377780494,0.158586163838254,-4.39714363642413
TG (48:4) [M+Na]+,-0.902164879168615,-0.135894562353896,-2.07450934077226,0.0447915922341037,0.159310535191003,-4.40771645768743
Sphingomyelin,0.810462678999187,-6.2233204700668e-16,2.07312131495899,0.0449275137352677,0.159310535191003,-4.41029951873032
SM(d40:0),-0.864169391243271,-0.0215910773404132,-2.06540643121331,0.0456895958681825,0.160226484525304,-4.42463160667183
PC(35:2),-0.857103947195021,2.24675602196929e-15,-2.06390419501473,0.0458392976569408,0.160226484525304,-4.42741740401369
Nicotinamide,0.770747906484236,0.00714279041399714,2.06311049013176,0.0459185656871297,0.160226484525304,-4.42888862675287
PC(30:1),-0.826391709962008,-4.58256118237207e-16,-2.04371605237783,0.0478931408637773,0.163509889536322,-4.46469838365034
Dimethylarginine,-0.75273980266328,9.37350602229584e-15,-2.04353832898338,0.0479115729244166,0.163509889536322,-4.46502528395389
TG (49:3) [M+NH4]+,-0.864185676962614,-6.85938574459163e-16,-2.04228905044631,0.0480413131146293,0.163509889536322,-4.46732253750959
Homogentisic Acid,-0.79466231087153,3.89011739487799e-16,-2.04211929036771,0.0480589667109074,0.163509889536322,-4.46763461667228
"3,4-Dihydroxyphenylacetic Acid (DOPAC)",-0.939697398926215,-3.36970035208495e-15,-2.03926615279498,0.0483565174048726,0.163509889536322,-4.47287659356362
Cytidine,-0.962455922416769,-0.000974685142024622,-2.0383615900409,0.0484511884649568,0.163509889536322,-4.4745372947739
Linolenyl Carnitine,-0.795256783348435,-1.13624387676481e-16,-2.03041836625343,0.0492894925496488,0.163509889536322,-4.4890950773251
FA (22:4) [M-H]-,0.874062051749839,4.16116793799937e-16,2.02824859704761,0.0495206717586733,0.163509889536322,-4.49306376662034
PS(16:0/18:0),0.709555520744239,1.46117926785871e-15,2.0273820091641,0.0496132666562217,0.163509889536322,-4.49464787852469
PE(38:4),0.740832108253882,-9.30390024282228e-16,2.0268072177349,0.0496747663283239,0.163509889536322,-4.4956982909588
hydroxyoctanoyl carnitine,0.822968545316392,2.96840098797565e-15,2.02634751709499,0.0497239997019857,0.163509889536322,-4.49653820700106
Quinaldic Acid,0.845091570751731,8.47123297435341e-15,2.02516746977676,0.0498505760781468,0.163509889536322,-4.4986935647311
PI(36:4),-0.737107917372377,-1.05174838745577e-15,-2.01280084887867,0.0511940455754775,0.167081064166732,-4.52122060046791
Cys-Gly,-0.805664766118419,-5.76470295110543e-16,-2.00158148218072,0.052440027759728,0.170300288170206,-4.54156180688222
hydroxydecanoyl carnitine,0.835282810902431,1.0046940131699e-15,1.99442268872736,0.0532487579143851,0.170443785329976,-4.55449313425098
3-Methylhistidine,-0.80074906813644,-1.30798150088651e-15,-1.99326479532049,0.0533805776587769,0.170443785329976,-4.55658118980235
PC (o-34:0) [M+H]+,0.676795373581754,-1.91455647631974e-15,1.99311720016743,0.0533974008870735,0.170443785329976,-4.55684728117302
PC(44:8),0.730398307718452,1.23454487373683e-15,1.9920121282746,0.0535235057591083,0.170443785329976,-4.55883905051164
PG(16:0/18:0),0.826686994630582,2.68679754370874e-15,1.97762037587115,0.0551895620065705,0.174900254474929,-4.58469702613368
