Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
HPRT1,0.386914612530517,10.4209200882386,1.52435488523696,0.144748755126411,0.443708901921334,-5.23258988848581
LUM,-0.227770015565628,16.0980876065485,-1.52340429206643,0.144984955256091,0.443708901921334,-5.23389886768844
CDH1,-0.300456680036003,20.2558129245318,-1.52177761102709,0.145389890068551,0.443708901921334,-5.23613738035621
OLFML1,-0.540264752383791,9.85224704170156,-1.52090821041298,0.14560669752967,0.443708901921334,-5.23733303210925
EIF3B,0.720710700774848,10.929371943934,1.52089175398497,0.145610803951554,0.443708901921334,-5.23735565893244
IGHV3-72.1,-0.548010481859751,15.4655271980159,-1.5191817490991,0.146038030967226,0.443708901921334,-5.2397058147088
GCG,-0.349972907686103,14.0378448631843,-1.5181942085151,0.146285231301514,0.443708901921334,-5.24106212511933
ST3GAL1,0.292994406442758,12.33696524805,1.51716272563682,0.146543801857377,0.443708901921334,-5.24247806554002
VCP,0.740821934426998,11.7488100817026,1.51716114814039,0.146544197591972,0.443708901921334,-5.24248023044124
SAMM50,0.781777920287725,13.0016587079091,1.51667702093242,0.146665688813874,0.443708901921334,-5.24314454828633
RBMXL2,0.700179788244794,10.8796338782625,1.5160880742174,0.146813597009665,0.443708901921334,-5.24395248006642
TJP2,0.582562597111117,12.203490502505,1.51144830867435,0.147983159563249,0.445556436417407,-5.25030900856747
PTPN1,0.494970641021016,11.7183524552812,1.51093419402725,0.148113228153933,0.445556436417407,-5.25101243088044
APOA2,-0.241106091845679,22.2285870385178,-1.51066162361739,0.148182225596044,0.445556436417407,-5.25138529282165
PRCP,-0.301135167972498,10.9225006966389,-1.50965263122916,0.148437869857698,0.445566054929997,-5.25276509152541
CD59,-0.293203221342997,11.8712239551569,-1.50811558651451,0.148828006518209,0.4459786612982,-5.25486564115419
ETFA,0.736804791543551,10.491265723158,1.50213704638672,0.150353575184504,0.449257018757913,-5.2630203539928
LCP2,0.413066668173428,13.727880063137,1.50183456237946,0.150431103731403,0.449257018757913,-5.26343227855536
CRIP1,0.291267957848177,14.0826563502715,1.49818165786131,0.151369978129672,0.451297316552147,-5.26840177700696
HSPA5,-0.187489306278433,16.4780549091427,-1.49566389235991,0.15201991167297,0.451670061420075,-5.27182157008315
DIAPH1.2,0.593502344779844,11.7650385091186,1.49494379053133,0.152206221242014,0.451670061420075,-5.27279884265782
DENR,0.297004087260937,12.9065781092256,1.49472559316408,0.152262711923481,0.451670061420075,-5.27309489333852
